Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Census Short Commodity Description,Date - Fixed,HTS,Category Description,Price Range
Dominican Republic,4998,4998,107,107,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,07/1/2014 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,08/1/2014 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,8615,8615,112,112,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,09/1/2014 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,3657,3657,110,110,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,10/1/2014 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,11/1/2014 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,12/1/2014 12:00:00 AM,2401102120,UNST. WRAPPER,
Ecuador,8795,8795,237,237,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,06/1/2014 12:00:00 AM,2401102120,UNST. WRAPPER,
Ecuador,4439,4439,121,121,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,07/1/2014 12:00:00 AM,2401102120,UNST. WRAPPER,
Ecuador,4406,4406,119,119,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,08/1/2014 12:00:00 AM,2401102120,UNST. WRAPPER,
Ecuador,8828,8828,239,239,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,09/1/2014 12:00:00 AM,2401102120,UNST. WRAPPER,
Ecuador,4191,4191,117,117,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,10/1/2014 12:00:00 AM,2401102120,UNST. WRAPPER,
Ecuador,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,11/1/2014 12:00:00 AM,2401102120,UNST. WRAPPER,
Ecuador,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,12/1/2014 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,7214,7214,217,217,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,12/1/2015 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,10620,10620,1056,1056,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,05/1/2016 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,06/1/2016 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,3000,3000,54,54,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,07/1/2016 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,8875,8875,162,162,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,08/1/2016 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,09/1/2016 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,10/1/2016 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,2900,2900,54,54,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,11/1/2016 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,14700,14700,273,273,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,12/1/2016 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,3138,3138,147,147,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,04/1/2017 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,05/1/2017 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,06/1/2017 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,07/1/2017 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,08/1/2017 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,09/1/2017 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,10/1/2017 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,11/1/2017 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,12/1/2017 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,32856,32856,668,668,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,04/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,05/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,06/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,07/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,08/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,28600,28600,649,649,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,09/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,10/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,11/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,12/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
India,5300,5300,840,840,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,04/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
India,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,05/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
India,5300,5300,840,840,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,06/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
India,7740,7740,571,571,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,07/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
India,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,08/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
India,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,09/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
India,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,10/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
India,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,11/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
India,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,12/1/2018 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,6510,6510,95,95,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,04/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,05/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,06/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,07/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,08/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,09/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,10/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,11/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Dominican Republic,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,12/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Ecuador,18180,18180,367,367,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,08/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Ecuador,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,09/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Ecuador,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,10/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Ecuador,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,11/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Ecuador,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,12/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
India,36300,36300,5567,5567,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,06/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
India,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,07/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
India,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,08/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
India,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,09/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
India,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,10/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
India,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,11/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
India,0,0,0,0,CONN. SHADE WRAPPER NOT STEM/STRIP OV 35% WRAPPER,12/1/2019 12:00:00 AM,2401102120,UNST. WRAPPER,
Nicaragua,4000,4000,91,91,"WRAPPER TOBACCO, NESOI CONTAINING OVER 35% WRAPPER",02/1/2014 12:00:00 AM,2401102140,UNST. WRAPPER,
Nicaragua,6371,6371,332,332,"WRAPPER TOBACCO, NESOI CONTAINING OVER 35% WRAPPER",03/1/2014 12:00:00 AM,2401102140,UNST. WRAPPER,
Nicaragua,0,0,0,0,"WRAPPER TOBACCO, NESOI CONTAINING OVER 35% WRAPPER",04/1/2014 12:00:00 AM,2401102140,UNST. WRAPPER,
Nicaragua,0,0,0,0,"WRAPPER TOBACCO, NESOI CONTAINING OVER 35% WRAPPER",05/1/2014 12:00:00 AM,2401102140,UNST. WRAPPER,
Nicaragua,0,0,0,0,"WRAPPER TOBACCO, NESOI CONTAINING OVER 35% WRAPPER",06/1/2014 12:00:00 AM,2401102140,UNST. WRAPPER,
Nicaragua,0,0,0,0,"WRAPPER TOBACCO, NESOI CONTAINING OVER 35% WRAPPER",07/1/2014 12:00:00 AM,2401102140,UNST. WRAPPER,
